search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P08069,IGF1R,"Insulin-like growth factor 1 receptor",2.7.10.1,"IGF1R_HUMAN, IGF1R","Cell membrane","P08069 IGF1R_HUMAN Insulin-like growth factor 1 receptor P08069,B1B5Y2,Q14CV2,Q9UCC0 Insulin-like growth factor I receptor ","alphav-beta3 integrin-igf-1-igf1r complex, axon, insulin receptor complex, integral component of plasma membrane, intracellular membrane-bounded organelle, membrane, plasma membrane, protein kinase complex, receptor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IGF1R_HUMAN,https://cansarblack.icr.ac.uk/target/P08069/synopsis,"100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein","100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein||56.40|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein","100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein||56.40|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein||49.82|P08922|ROS1|BRIGATINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||43.97|Q9UM73|ALK|ALECTINIB,ALECTINIB HYDROCHLORIDE,BRIGATINIB,CERITINIB,CRIZOTINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||43.94|Q16620|NTRK2|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||42.61|P00519|ABL1|BOSUTINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,PONATINIB,PONATINIB HYDROCHLORIDE,REGORAFENIB|Whole:::Protein||41.89|P04629|NTRK1|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||41.88|P35968|KDR|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,RAMUCIRUMAB,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||41.18|P09619|PDGFRB|AXITINIB,BECAPLERMIN,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.46|P16234|PDGFRA|AVAPRITINIB,AXITINIB,MIDOSTAURIN,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,NINTEDANIB,NINTEDANIB ESYLATE,OLARATUMAB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.35|P21802|FGFR2|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PALIFERMIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||40.13|Q16832|DDR2|REGORAFENIB|Whole:::Protein||39.85|P12931|SRC|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||39.80|P08581|MET|CABOZANTINIB,CABOZANTINIB S-MALATE,CAPMATINIB,CAPMATINIB HYDROCHLORIDE,CRIZOTINIB|Whole:::Protein||39.54|P11362|FGFR1|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||39.50|P07947|YES1|DASATINIB,VANDETANIB|Whole:::Protein||39.16|Q16288|NTRK3|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||39.12|P07949|RET|ALECTINIB,ALECTINIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,VANDETANIB|Whole:::Protein||38.72|P21709|EPHA1|VANDETANIB|Whole:::Protein||38.44|P22607|FGFR3|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||38.38|P07948|LYN|DASATINIB,VANDETANIB|Whole:::Protein||38.25|P51451|BLK|DASATINIB,VANDETANIB|Whole:::Protein||37.66|P22455|FGFR4|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE|Whole:::Protein||37.59|P06239|LCK|DASATINIB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,VANDETANIB|Whole:::Protein||37.37|Q02763|TEK|REGORAFENIB,VANDETANIB|Whole:::Protein||37.37|P09769|FGR|DASATINIB,VANDETANIB|Whole:::Protein||37.23|P08631|HCK|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||37.22|Q08345|DDR1|NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE|Whole:::Protein||37.04|Q13882|PTK6|VANDETANIB|Whole:::Protein||36.84|P06241|FYN|DASATINIB,VANDETANIB|Whole:::Protein||35.91|P42685|FRK|DASATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||35.84|P54756|EPHA5|VANDETANIB|Whole:::Protein||35.74|P00533|EGFR|AFATINIB,AFATINIB DIMALEATE,CETUXIMAB,DACOMITINIB,DACOMITINIB,ERLOTINIB,ERLOTINIB HYDROCHLORIDE,GEFITINIB,LAPATINIB,LAPATINIB DITOSYLATE,NECITUMUMAB,NERATINIB,NERATINIB MALEATE,OSIMERTINIB,OSIMERTINIB MESYLATE,PANITUMUMAB,REGORAFENIB,VANDETANIB|Whole:::Protein||35.44|P04626|ERBB2|TRASTUZUMAB EMTANSINE,AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,LANREOTIDE,LANREOTIDE ACETATE,LAPATINIB,LAPATINIB DITOSYLATE,NERATINIB,NERATINIB MALEATE,PERTUZUMAB,TRASTUZUMAB,TRASTUZUMAB DERUXTECAN,TRASTUZUMAB,TUCATINIB,VANDETANIB|Whole:::Protein||35.02|P29322|EPHA8|VANDETANIB|Whole:::Protein",,,,,0,,0,1.15,92,,,,,,,,,,
,P31350,RRM2,"Ribonucleoside-diphosphate reductase subunit M2",1.17.4.1,"RIR2_HUMAN, RRM2, RR2",Cytoplasm,"P31350 RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 P31350,B2R9B5,J3KP43,Q5WRU7 Ribonucleotide reductase small chain, Ribonucleotide reductase small subunit RR2",cytosol,,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RIR2_HUMAN,https://cansarblack.icr.ac.uk/target/P31350/synopsis,"100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein","100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein||80.65|Q7LG56|RRM2B|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA|Whole:::Protein","100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein||80.65|Q7LG56|RRM2B|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA|Whole:::Protein",,,,,0,,0,-0.55,73,,,,,,,,,,
,P02671,FGA,"Fibrinogen alpha chain",,"FIBA_HUMAN, FGA",Secreted,"P02671 FIBA_HUMAN Fibrinogen alpha chain P02671,A8K3E4,D3DP14,D3DP15,Q4QQH7,Q9BX62,Q9UCH2  ","blood microparticle, cell cortex, cell surface, collagen-containing extracellular matrix, endoplasmic reticulum lumen, external side of plasma membrane, extracellular exosome, extracellular region, extracellular space, extracellular vesicle, fibrinogen complex, plasma membrane, platelet alpha granule, platelet alpha granule lumen, synapse",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FIBA_HUMAN,https://cansarblack.icr.ac.uk/target/P02671/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O14976,GAK,"Cyclin-G-associated kinase",2.7.11.1,"GAK_HUMAN, GAK","Cytoplasm, Perinuclear region, Golgi apparatus, Trans-Golgi network, Cell junction, Focal adhesion","O14976 GAK_HUMAN Cyclin-G-associated kinase O14976,Q5U4P5,Q9BVY6  ","cytoplasm, cytosol, focal adhesion, golgi apparatus, intracellular membrane-bounded organelle, membrane, perinuclear region of cytoplasm, presynapse, vesicle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GAK_HUMAN,https://cansarblack.icr.ac.uk/target/O14976/synopsis,"29.22|Q00534|CDK6|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein",,,,,,,0,,0,0.6,86,,,,,,,,,,
,O75223,GGCT,Gamma-glutamylcyclotransferase,4.3.2.9,"GGCT_HUMAN, GGCT, C7orf24, CRF21",,"O75223 GGCT_HUMAN Gamma-glutamylcyclotransferase O75223,B2RDN0,B8ZZN4,B8ZZR8,Q9BS37 Cytochrome c-releasing factor 21 C7orf24, CRF21","cytosol, extracellular exosome",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GGCT_HUMAN,https://cansarblack.icr.ac.uk/target/O75223/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O60547,GMDS,"GDP-mannose 4,6 dehydratase",4.2.1.47,"GMDS_HUMAN, GMDS",,"O60547 GMDS_HUMAN GDP-mannose 4,6 dehydratase O60547,E9PI88,O75357,Q5T954,Q6FH09,Q9UGZ3,Q9UJK9 GDP-D-mannose dehydratase ","cytoplasm, cytosol, extracellular exosome",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GMDS_HUMAN,https://cansarblack.icr.ac.uk/target/O60547/synopsis,,,,,,,,0,,0,0,80,,,,,,,,,,
,Q13003,GRIK3,"Glutamate receptor ionotropic, kainate 3",,"GRIK3_HUMAN, GRIK3, GLUR7","Cell membrane, Cell junction, Synapse, Postsynaptic cell membrane","Q13003 GRIK3_HUMAN Glutamate receptor ionotropic, kainate 3 Q13003,A9Z1Z8,B1AMS6,Q13004,Q16136 Excitatory amino acid receptor 5, Glutamate receptor 7 GLUR7","axon, dendrite, dendrite cytoplasm, glutamatergic synapse, integral component of plasma membrane, kainate selective glutamate receptor complex, perikaryon, plasma membrane, postsynaptic membrane, presynaptic membrane, terminal bouton",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GRIK3_HUMAN,https://cansarblack.icr.ac.uk/target/Q13003/synopsis,75.35|P39086|GRIK1|TOPIRAMATE|Whole:::Protein,75.35|P39086|GRIK1|TOPIRAMATE|Whole:::Protein,"75.35|P39086|GRIK1|TOPIRAMATE|Whole:::Protein||41.38|P42262|GRIA2|PERAMPANEL|Whole:::Protein||40.19|P42261|GRIA1|PERAMPANEL,TOPIRAMATE|Whole:::Protein||39.34|P42263|GRIA3|PERAMPANEL|Whole:::Protein||38.38|P48058|GRIA4|PERAMPANEL|Whole:::Protein",,,,,0,,0,1.1,91,,,,,,,,,,
,Q14832,GRM3,"Metabotropic glutamate receptor 3",,"GRM3_HUMAN, GRM3, GPRC1C, MGLUR3","Cell membrane","Q14832 GRM3_HUMAN Metabotropic glutamate receptor 3 Q14832,Q2PNZ6,Q75MV4,Q75N17,Q86YG6,Q8TBH9  GPRC1C, MGLUR3","astrocyte projection, axon, dendritic spine, glutamatergic synapse, integral component of plasma membrane, integral component of postsynaptic membrane, integral component of presynaptic membrane, plasma membrane, postsynaptic density",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GRM3_HUMAN,https://cansarblack.icr.ac.uk/target/Q14832/synopsis,,,,,,,,0,,0,1.55,95,,,,,,,,,,
,P06756,ITGAV,"Integrin alpha-V",,"ITAV_HUMAN, ITGAV, MSK8, VNRA, VTNR","Cell membrane, Cell junction, Focal adhesion","P06756 ITAV_HUMAN Integrin alpha-V P06756,A0AV67,B0LPF4,B7Z883,B7ZLX0,D3DPG8,E7EWZ6,Q53SK4,Q59EB7,Q6LD15 Vitronectin receptor, Vitronectin receptor subunit alpha MSK8, VNRA, VTNR","alphav-beta3 integrin-hmgb1 complex, alphav-beta3 integrin-igf-1-igf1r complex, alphav-beta3 integrin-pkcalpha complex, cell surface, cytosol, external side of plasma membrane, extracellular exosome, filopodium membrane, focal adhesion, integral component of plasma membrane, integrin alphav-beta3 complex, integrin alphav-beta5 complex, integrin alphav-beta6 complex, integrin alphav-beta8 complex, integrin complex, lamellipodium membrane, membrane, microvillus membrane, phagocytic vesicle, plasma membrane, ruffle membrane, specific granule membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ITAV_HUMAN,https://cansarblack.icr.ac.uk/target/P06756/synopsis,"38.09|P08514|ITGA2B|ABCIXIMAB,EPTIFIBATIDE,TIROFIBAN,TIROFIBAN HYDROCHLORIDE|Whole:::Protein",,"38.09|P08514|ITGA2B|ABCIXIMAB,EPTIFIBATIDE,TIROFIBAN,TIROFIBAN HYDROCHLORIDE|Whole:::Protein",,,,,0,,0,1.45,94,,,,,,,,,,
,Q9BW62,KATNAL1,"Katanin p60 ATPase-containing subunit A-like 1",5.6.1.1,"KATL1_HUMAN, KATNAL1","Cytoplasm, Cytoskeleton, Cytoplasm, Cytoplasm, Cytoskeleton, Spindle pole, Cytoplasm, Cytoskeleton, Spindle","Q9BW62 KATL1_HUMAN Katanin p60 ATPase-containing subunit A-like 1 Q9BW62,A8K5X4 p60 katanin-like 1 ","centrosome, cytoplasm, microtubule, microtubule cytoskeleton, nucleus, spindle, spindle pole",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KATL1_HUMAN,https://cansarblack.icr.ac.uk/target/Q9BW62/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
