search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P50750,CDK9,"Cyclin-dependent kinase 9",2.7.11.22,"CDK9_HUMAN, CDK9, CDC2L4, TAK","Nucleus, Cytoplasm, Nucleus, PML body","P50750 CDK9_HUMAN Cyclin-dependent kinase 9 P50750,Q5JU24,Q5JU25,Q5U006,Q96TF1 C-2K, Cell division cycle 2-like protein kinase 4, Cell division protein kinase 9, Serine/threonine-protein kinase PITALRE, Tat-associated kinase complex catalytic subunit CDC2L4, TAK","cyclin/cdk positive transcription elongation factor complex, cytoplasmic ribonucleoprotein granule, mediator complex, membrane, nucleoplasm, nucleus, p-tefb complex, pml body, transcription elongation factor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CDK9_HUMAN,https://cansarblack.icr.ac.uk/target/P50750/synopsis,"38.26|Q00534|CDK6|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein",,"38.26|Q00534|CDK6|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein||36.62|P11802|CDK4|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein",,,,,0,,0,2.2,98,,,,,,,,,,
,P68400,CSNK2A1,"Casein kinase II subunit alpha",2.7.11.1,"CSK21_HUMAN, CSNK2A1, CK2A1",Nucleus,"P68400 CSK21_HUMAN Casein kinase II subunit alpha P68400,B4DYS6,D3DVV8,P19138,P20426,Q14013,Q5U065  CK2A1","cytosol, nucleoplasm, nucleus, nurd complex, plasma membrane, protein kinase ck2 complex, sin3 complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CSK21_HUMAN,https://cansarblack.icr.ac.uk/target/P68400/synopsis,34.31|P41743|PRKCI|MIDOSTAURIN|Whole:::Protein,,,,,,,0,,0,0.85,89,,,,,,,,,,
,Q12824,SMARCB1,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1",,"SNF5_HUMAN, SMARCB1, BAF47, INI1, SNF5L1",Nucleus,"Q12824 SNF5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 Q12824,O75784,O95474,Q17S11,Q38GA1,Q76N08,Q9UBH2 BRG1-associated factor 47, Integrase interactor 1 protein, SNF5 homolog BAF47, INI1, SNF5L1","brahma complex, chromatin, fibrillar center, intracellular membrane-bounded organelle, nbaf complex, npbaf complex, nuclear chromosome, nucleolus, nucleoplasm, nucleus, protein-containing complex, swi/snf complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SNF5_HUMAN,https://cansarblack.icr.ac.uk/target/Q12824/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P40337,VHL,"von Hippel-Lindau disease tumor suppressor",,"VHL_HUMAN, VHL","Cytoplasm, Membrane, Nucleus, Cytoplasm, Nucleus","P40337 VHL_HUMAN von Hippel-Lindau disease tumor suppressor P40337,B2RE45,Q13599,Q6PDA9 Protein G7, pVHL ","cytosol, endoplasmic reticulum, membrane, mitochondrion, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=VHL_HUMAN,https://cansarblack.icr.ac.uk/target/P40337/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O14757,CHEK1,"Serine/threonine-protein kinase Chk1",2.7.11.1,"CHK1_HUMAN, CHEK1, CHK1","Nucleus, Chromosome, Cytoplasm, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","O14757 CHK1_HUMAN Serine/threonine-protein kinase Chk1 O14757,A8K934,B4DDD0,B4DSK3,B5BTY6,F5H7S4,H2BI51 CHK1 checkpoint homolog, Cell cycle checkpoint kinase, Checkpoint kinase-1 CHK1","centrosome, chromatin, condensed nuclear chromosome, cytoplasm, cytosol, extracellular space, intracellular membrane-bounded organelle, nucleoplasm, nucleus, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CHK1_HUMAN,https://cansarblack.icr.ac.uk/target/O14757/synopsis,"34.00|P29597|TYK2|TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein",,,,,,,0,,0,2.05,97,,,,,,,,,,
,P11387,TOP1,"DNA topoisomerase 1",5.6.2.1,"TOP1_HUMAN, TOP1","Nucleus, Nucleolus, Nucleus, Nucleoplasm","P11387 TOP1_HUMAN DNA topoisomerase 1 P11387,A8KA78,E1P5W3,O43256,Q12855,Q12856,Q15610,Q5TFY3,Q9UJN0 DNA topoisomerase I ","chromosome, fibrillar center, nucleolus, nucleoplasm, nucleus, p-body, perikaryon, protein-dna complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TOP1_HUMAN,https://cansarblack.icr.ac.uk/target/P11387/synopsis,"100.00|P11387|TOP1|IRINOTECAN,IRINOTECAN HYDROCHLORIDE,SACITUZUMAB GOVITECAN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,TRASTUZUMAB DERUXTECAN|Whole:::Protein","100.00|P11387|TOP1|IRINOTECAN,IRINOTECAN HYDROCHLORIDE,SACITUZUMAB GOVITECAN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,TRASTUZUMAB DERUXTECAN|Whole:::Protein||100.00|P11387|TOP1|IRINOTECAN,IRINOTECAN HYDROCHLORIDE,SACITUZUMAB GOVITECAN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,TRASTUZUMAB DERUXTECAN|Whole:::Protein","100.00|P11387|TOP1|IRINOTECAN,IRINOTECAN HYDROCHLORIDE,SACITUZUMAB GOVITECAN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,TRASTUZUMAB DERUXTECAN|Whole:::Protein||100.00|P11387|TOP1|IRINOTECAN,IRINOTECAN HYDROCHLORIDE,SACITUZUMAB GOVITECAN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,TRASTUZUMAB DERUXTECAN|Whole:::Protein",,,,,0,,0,0.1,81,,,,,,,,,,
,P08069,IGF1R,"Insulin-like growth factor 1 receptor",2.7.10.1,"IGF1R_HUMAN, IGF1R","Cell membrane","P08069 IGF1R_HUMAN Insulin-like growth factor 1 receptor P08069,B1B5Y2,Q14CV2,Q9UCC0 Insulin-like growth factor I receptor ","alphav-beta3 integrin-igf-1-igf1r complex, axon, insulin receptor complex, integral component of plasma membrane, intracellular membrane-bounded organelle, membrane, plasma membrane, protein kinase complex, receptor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IGF1R_HUMAN,https://cansarblack.icr.ac.uk/target/P08069/synopsis,"100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein","100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein||56.40|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein","100.00|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein||56.40|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein||49.82|P08922|ROS1|BRIGATINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||43.97|Q9UM73|ALK|ALECTINIB,ALECTINIB HYDROCHLORIDE,BRIGATINIB,CERITINIB,CRIZOTINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||43.94|Q16620|NTRK2|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||42.61|P00519|ABL1|BOSUTINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,PONATINIB,PONATINIB HYDROCHLORIDE,REGORAFENIB|Whole:::Protein||41.89|P04629|NTRK1|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||41.88|P35968|KDR|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,RAMUCIRUMAB,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||41.18|P09619|PDGFRB|AXITINIB,BECAPLERMIN,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.46|P16234|PDGFRA|AVAPRITINIB,AXITINIB,MIDOSTAURIN,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,NINTEDANIB,NINTEDANIB ESYLATE,OLARATUMAB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.35|P21802|FGFR2|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PALIFERMIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||40.13|Q16832|DDR2|REGORAFENIB|Whole:::Protein||39.85|P12931|SRC|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||39.80|P08581|MET|CABOZANTINIB,CABOZANTINIB S-MALATE,CAPMATINIB,CAPMATINIB HYDROCHLORIDE,CRIZOTINIB|Whole:::Protein||39.54|P11362|FGFR1|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||39.50|P07947|YES1|DASATINIB,VANDETANIB|Whole:::Protein||39.16|Q16288|NTRK3|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||39.12|P07949|RET|ALECTINIB,ALECTINIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,VANDETANIB|Whole:::Protein||38.72|P21709|EPHA1|VANDETANIB|Whole:::Protein||38.44|P22607|FGFR3|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||38.38|P07948|LYN|DASATINIB,VANDETANIB|Whole:::Protein||38.25|P51451|BLK|DASATINIB,VANDETANIB|Whole:::Protein||37.66|P22455|FGFR4|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE|Whole:::Protein||37.59|P06239|LCK|DASATINIB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,VANDETANIB|Whole:::Protein||37.37|Q02763|TEK|REGORAFENIB,VANDETANIB|Whole:::Protein||37.37|P09769|FGR|DASATINIB,VANDETANIB|Whole:::Protein||37.23|P08631|HCK|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||37.22|Q08345|DDR1|NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE|Whole:::Protein||37.04|Q13882|PTK6|VANDETANIB|Whole:::Protein||36.84|P06241|FYN|DASATINIB,VANDETANIB|Whole:::Protein||35.91|P42685|FRK|DASATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||35.84|P54756|EPHA5|VANDETANIB|Whole:::Protein||35.74|P00533|EGFR|AFATINIB,AFATINIB DIMALEATE,CETUXIMAB,DACOMITINIB,DACOMITINIB,ERLOTINIB,ERLOTINIB HYDROCHLORIDE,GEFITINIB,LAPATINIB,LAPATINIB DITOSYLATE,NECITUMUMAB,NERATINIB,NERATINIB MALEATE,OSIMERTINIB,OSIMERTINIB MESYLATE,PANITUMUMAB,REGORAFENIB,VANDETANIB|Whole:::Protein||35.44|P04626|ERBB2|TRASTUZUMAB EMTANSINE,AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,LANREOTIDE,LANREOTIDE ACETATE,LAPATINIB,LAPATINIB DITOSYLATE,NERATINIB,NERATINIB MALEATE,PERTUZUMAB,TRASTUZUMAB,TRASTUZUMAB DERUXTECAN,TRASTUZUMAB,TUCATINIB,VANDETANIB|Whole:::Protein||35.02|P29322|EPHA8|VANDETANIB|Whole:::Protein",,,,,0,,0,1.15,92,,,,,,,,,,
,P31350,RRM2,"Ribonucleoside-diphosphate reductase subunit M2",1.17.4.1,"RIR2_HUMAN, RRM2, RR2",Cytoplasm,"P31350 RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 P31350,B2R9B5,J3KP43,Q5WRU7 Ribonucleotide reductase small chain, Ribonucleotide reductase small subunit RR2",cytosol,,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RIR2_HUMAN,https://cansarblack.icr.ac.uk/target/P31350/synopsis,"100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein","100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein||80.65|Q7LG56|RRM2B|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA|Whole:::Protein","100.00|P31350|RRM2|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA,HYDROXYUREA|Whole:::Protein||80.65|Q7LG56|RRM2B|CLOFARABINE,GALLIUM NITRATE,GALLIUM CITRATE GA 67,GALLIUM CITRATE,GALLIUM OXODOTREOTIDE,GALLIUM OXODOTREOTIDE GA-68,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,HYDROXYUREA|Whole:::Protein",,,,,0,,0,-0.55,73,,,,,,,,,,
,P30291,WEE1,"Wee1-like protein kinase",2.7.10.2,"WEE1_HUMAN, WEE1",Nucleus,"P30291 WEE1_HUMAN Wee1-like protein kinase P30291,B3KVE1,D3DQV0 Wee1A kinase ","cytoplasm, nucleolus, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=WEE1_HUMAN,https://cansarblack.icr.ac.uk/target/P30291/synopsis,,,,,,,,0,,0,0.7,87,,,,,,,,,,
,P15927,RPA2,"Replication protein A 32 kDa subunit",,"RFA2_HUMAN, RPA2, REPA2, RPA32, RPA34","Nucleus, Nucleus, PML body","P15927 RFA2_HUMAN Replication protein A 32 kDa subunit P15927,Q52II0,Q5TEI9,Q5TEJ5 Replication factor A protein 2, Replication protein A 34 kDa subunit REPA2, RPA32, RPA34","chromatin, chromosome, dna replication factor a complex, nuclear body, nucleoplasm, nucleus, pml body",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RFA2_HUMAN,https://cansarblack.icr.ac.uk/target/P15927/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
